"plot","et","transpiration","evaporation","npp","gpp","respiration","par","temp.c","rh"
"h1D_071516",4729.86052740724,404.266102979098,4325.59442442814,8.53990070989328,2.17659715087004,10.7164978607633,92.3333333333333,13.675,0.7865
"h1D_072016",3426.78928760971,-233.90700407689,3660.6962916866,4.95949663717249,10.3542690088688,15.3137656460413,190,16.05,0.78525
"h1D_072316",6325.74939045884,1669.04436543956,4656.70502501929,17.7402542621335,-8.7457120700606,8.99454219207292,232.5,26.1,0.5845
"h2D_071516",7674.41097225788,23.9739451275491,7650.43702713033,11.3568638852502,11.3595774004907,22.7164412857408,728,13.8,0.78
"h2D_072016",6364.92434536277,-332.579164375042,6697.50350973781,29.5888459424221,-6.40536893942241,23.1834770029997,137,15.325,0.828
"h2D_072316",7283.9822792601,2016.80870399677,5267.17357526333,39.9529383210764,-7.89336497626392,32.0595733448125,505.5,25.6,0.597
"h3D_071516",7203.13964903092,816.179636930712,6386.96001210021,20.4475346502164,-7.83972701349235,12.6078076367241,259.333333333333,13.8,0.78
"h3D_072016",3593.95867487319,-840.254720588208,4434.2133954614,-4.69509026145046,11.7753769378153,7.08028667636485,153,14.375,0.868
"h3D_072316",2838.33882207365,-3158.81735781799,5997.15617989164,4.11969225841812,14.2677751530035,18.3874674114216,605.5,25.6,0.591
"h4D_071516",5090.59836536511,1468.46588745885,3622.13247790626,10.8321902447417,-4.1163049922452,6.71588525249651,307.666666666667,13.3,0.806
"h4D_072016",3386.03012308382,1446.72113567174,1939.30898741209,20.5044978532237,-7.76946272267122,12.7350351305525,84,16.8,0.717
"h4D_072016_2",2965.04366375454,74.1758496499097,2890.86781410463,-0.0397102580329662,11.8302930324805,11.7905827744475,84,16.95,0.70275
"h4D_072316",3978.32929471289,-1473.74281308624,5452.07210779914,14.7098250084394,-2.08858661436154,12.6212383940779,227.5,25.43,0.5815
"h5D_071516",4069.06911438004,-441.032751751651,4510.10186613169,-5.47171938685508,19.4384991493992,13.9667797625441,239,13,0.827
"h5D_072016",3771.68711040702,-1.57308768015537,3773.26019808718,13.7605737543261,6.73384099078593,20.494414745112,88.5,17.25,0.67425
"h5D_072016_2",2413.81119488605,-510.221354026437,2924.03254891248,22.5361030564311,-4.45903227932746,18.0770707771037,93,17.4,0.66
"h5D_072316",4555.90264302781,834.477099227119,3721.42554380069,37.6275953028526,-8.9994384278439,28.6281568750087,237.5,25.6,0.585
"h6D_071516",4766.17845903914,1689.25768972965,3076.92076930949,28.0002867280786,-15.9512195000343,12.0490672280442,81.3333333333333,13.2,0.813
"h6D_072016",2946.60772547474,1515.74174233138,1430.86598314336,9.60722591365459,11.1816520595584,20.788877973213,84,16.95,0.70275
"h6D_072016_2",3303.37953984889,330.201440308041,2973.17809954085,27.2224682471362,-3.28925212578454,23.9332161213517,88.5,17.25,0.67425
"h6D_072316",7052.21091432284,4900.39629187424,2151.81462244859,37.4493424574612,-26.0929509673711,11.3563914900901,533,25.5,0.583
"l1D_071616",26907.6829459055,16862.8199186641,10044.8630272414,-8.07516881469327,45.9513247235671,37.8761559088739,1423.66666666667,12.425,0.82675
"l1D_072216",4564.77709611098,-61.3651881915894,4626.14228430257,15.5652945602628,6.19477449842001,21.7600690586828,172,13,0.949
"l1D_072316",12007.6670242202,-4028.97413634026,16036.6411605604,-16.8833202717285,59.2379790214674,42.354658749739,1106.5,20.05,0.683
"l2D_071616",20992.7949073944,-504.537331626336,21497.3322390208,-10.6760384493061,36.1471453648368,25.4711069155306,1054.66666666667,12.8,0.806
"l2D_072216",3775.60905564858,0.327402860611983,3775.28165278797,13.8565601677607,7.03374174252462,20.8903019102854,156.5,13.825,0.9285
"l2D_072316",7157.90147409837,-12163.553056968,19321.4545310663,-8.34778113296151,28.5399524362399,20.1921713032784,1303.5,18.775,0.722
"l3D_071616",12057.0140869641,3849.35930215279,8207.65478481134,20.7695441623219,14.2826552056297,35.0521993679516,662,12.05,0.836
"l3D_072216",4635.92152121513,205.88853393108,4430.03298728405,39.5037256990917,0.619618578275194,40.1233442773669,183,14.4,0.891
"l3D_072316",15826.3133189707,4479.86058706497,11346.4527319058,-19.8470201459306,31.2511634418006,11.40414329587,1317,19.6,0.689
"l4D_071616",11489.4834083213,-5508.20595689521,16997.6893652165,7.2897573850528,9.69306312080411,16.9828205058569,1273.33333333333,10.8,0.912
"l4D_072316",11489.1967668591,2318.91493614306,9170.28183071608,5.43106476675302,8.32510587973593,13.7561706464889,938,18.275,0.7375
"l5D_071616",21746.4976832072,2412.79002020695,19333.7076630003,12.8362537463874,18.7684727895126,31.6047265358999,885.666666666667,11.3,0.889
"l5D_072316",13917.2688781654,1895.23050993746,12022.0383682279,18.9502222008425,24.2591357484399,43.2093579492823,603,17.6,0.751
"l6D_071616",27511.2390562406,7774.36435142678,19736.8747048138,9.6551964218197,31.5984014650267,41.2535978868464,1381,10.925,0.90625
"l6D_072316",12076.5318091681,-6744.38190691955,18820.9137160876,9.62303371338348,27.4331196174085,37.056153330792,846,17.25,0.75425
