"2016-07-20 at 16:36"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-20 16:36:17 377.12 13.23 10.75 50.34 97.95 0.0698 0.0835
2016-07-20 16:36:18 376.49 13.23 10.76 50.34 98.00 0.0697 0.0835
2016-07-20 16:36:19 376.71 13.26 10.79 50.34 98.00 0.0697 0.0836
2016-07-20 16:36:20 376.17 13.28 10.82 50.34 98.00 0.0697 0.0838
2016-07-20 16:36:21 375.59 13.31 10.85 50.34 98.01 0.0696 0.0839
2016-07-20 16:36:22 376.52 13.35 10.89 50.34 98.01 0.0697 0.0840
2016-07-20 16:36:23 377.74 13.36 10.90 50.34 97.98 0.0699 0.0841
2016-07-20 16:36:24 378.91 13.82 11.42 50.34 98.01 0.0701 0.0861
2016-07-20 16:36:25 383.07 14.15 11.78 50.34 98.04 0.0706 0.0876
2016-07-20 16:36:26 387.02 14.50 12.15 50.34 98.04 0.0712 0.0890
2016-07-20 16:36:27 389.90 14.77 12.43 50.34 98.06 0.0716 0.0902
2016-07-20 16:36:28 394.01 15.16 12.82 50.34 98.01 0.0721 0.0918
2016-07-20 16:36:29 397.22 15.16 12.83 50.34 98.05 0.0726 0.0919
2016-07-20 16:36:30 398.40 15.48 13.14 50.34 98.03 0.0727 0.0931
2016-07-20 16:36:31 400.16 15.92 13.58 50.34 98.04 0.0730 0.0950
2016-07-20 16:36:32 400.79 16.51 14.14 50.34 98.06 0.0731 0.0973
2016-07-20 16:36:33 402.33 17.14 14.72 50.34 98.06 0.0733 0.0999
2016-07-20 16:36:34 403.89 17.69 15.21 50.34 98.06 0.0735 0.1020
2016-07-20 16:36:35 405.71 18.13 15.59 50.34 98.06 0.0738 0.1037
2016-07-20 16:36:36 406.58 18.48 15.89 50.34 98.04 0.0739 0.1050
2016-07-20 16:36:37 407.56 18.64 16.03 50.34 98.06 0.0740 0.1056
2016-07-20 16:36:38 408.28 18.89 16.23 50.34 98.04 0.0741 0.1065
