"2016-07-20 at 17:10"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-20 17:10:57 378.09 13.59 11.17 50.34 98.06 0.0700 0.0851
2016-07-20 17:10:58 379.37 13.60 11.19 50.34 98.06 0.0701 0.0852
2016-07-20 17:10:59 380.14 13.64 11.23 50.34 98.10 0.0703 0.0854
2016-07-20 17:11:00 381.25 13.68 11.27 50.34 98.10 0.0704 0.0856
2016-07-20 17:11:01 382.01 13.79 11.40 50.34 98.10 0.0705 0.0861
2016-07-20 17:11:02 381.49 13.88 11.50 50.34 98.10 0.0705 0.0865
2016-07-20 17:11:03 381.12 14.01 11.64 50.34 98.08 0.0704 0.0870
2016-07-20 17:11:04 381.46 14.19 11.83 50.34 98.07 0.0704 0.0878
2016-07-20 17:11:05 381.03 14.40 12.05 50.34 98.07 0.0704 0.0887
2016-07-20 17:11:06 380.53 14.57 12.23 50.34 98.09 0.0703 0.0894
2016-07-20 17:11:07 381.33 14.81 12.48 50.34 98.09 0.0705 0.0904
2016-07-20 17:11:08 382.18 15.04 12.71 50.34 98.09 0.0706 0.0914
2016-07-20 17:11:09 382.41 15.24 12.91 50.34 98.09 0.0706 0.0922
2016-07-20 17:11:10 383.13 15.42 13.10 50.34 98.11 0.0707 0.0930
2016-07-20 17:11:11 383.82 15.60 13.28 50.34 98.09 0.0708 0.0937
2016-07-20 17:11:12 384.41 15.77 13.44 50.34 98.09 0.0709 0.0944
2016-07-20 17:11:13 385.22 15.91 13.57 50.34 98.09 0.0710 0.0949
2016-07-20 17:11:14 386.40 16.02 13.68 50.34 98.09 0.0712 0.0954
2016-07-20 17:11:15 386.96 16.13 13.79 50.34 98.11 0.0712 0.0959
2016-07-20 17:11:16 388.29 16.23 13.89 50.34 98.11 0.0714 0.0963
2016-07-20 17:11:17 389.22 16.32 13.96 50.34 98.09 0.0715 0.0966
2016-07-20 17:11:18 389.87 16.40 14.04 50.34 98.09 0.0716 0.0969
2016-07-20 17:11:19 390.51 16.50 14.13 50.34 98.07 0.0717 0.0973
2016-07-20 17:11:20 390.83 16.52 14.16 50.34 98.09 0.0718 0.0974
