"2016-07-20 at 17:28"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-20 17:28:11 393.50 14.30 11.94 50.34 98.08 0.0721 0.0882
2016-07-20 17:28:12 393.09 14.30 11.94 50.34 98.08 0.0720 0.0882
2016-07-20 17:28:13 394.11 14.31 11.95 50.34 98.03 0.0721 0.0882
2016-07-20 17:28:14 393.58 14.31 11.96 50.34 98.08 0.0721 0.0883
2016-07-20 17:28:15 391.62 14.36 12.01 50.34 98.08 0.0718 0.0885
2016-07-20 17:28:16 391.06 14.47 12.12 50.34 98.10 0.0718 0.0890
2016-07-20 17:28:17 390.93 14.62 12.28 50.34 98.10 0.0718 0.0896
2016-07-20 17:28:18 390.97 14.68 12.35 50.34 98.11 0.0718 0.0899
2016-07-20 17:28:19 391.51 14.93 12.60 50.34 98.09 0.0718 0.0909
2016-07-20 17:28:20 392.59 15.16 12.84 50.34 98.11 0.0720 0.0919
2016-07-20 17:28:21 392.96 15.29 12.96 50.34 98.07 0.0720 0.0924
2016-07-20 17:28:22 394.10 15.48 13.16 50.34 98.09 0.0722 0.0932
2016-07-20 17:28:23 395.19 15.63 13.31 50.34 98.10 0.0724 0.0938
2016-07-20 17:28:24 396.24 15.75 13.42 50.34 98.13 0.0725 0.0943
2016-07-20 17:28:25 397.30 15.88 13.54 50.34 98.10 0.0726 0.0948
2016-07-20 17:28:26 399.46 15.99 13.66 50.34 98.10 0.0729 0.0953
2016-07-20 17:28:27 400.95 16.11 13.77 50.34 98.10 0.0731 0.0958
2016-07-20 17:28:28 402.57 16.23 13.88 50.34 98.08 0.0733 0.0963
2016-07-20 17:28:29 404.01 16.32 13.96 50.34 98.08 0.0735 0.0966
2016-07-20 17:28:30 406.02 16.40 14.05 50.34 98.09 0.0738 0.0970
2016-07-20 17:28:31 407.77 16.49 14.13 50.34 98.11 0.0741 0.0973
2016-07-20 17:28:32 409.23 16.58 14.21 50.34 98.11 0.0742 0.0977
2016-07-20 17:28:33 411.11 16.66 14.29 50.34 98.11 0.0745 0.0980
2016-07-20 17:28:34 412.96 16.75 14.37 50.34 98.09 0.0747 0.0983
2016-07-20 17:28:35 414.71 16.82 14.43 50.34 98.08 0.0750 0.0986
2016-07-20 17:28:36 415.59 16.88 14.49 50.34 98.08 0.0751 0.0989
2016-07-20 17:28:37 416.80 16.93 14.53 50.34 98.10 0.0752 0.0990
2016-07-20 17:28:38 417.88 16.97 14.57 50.34 98.13 0.0754 0.0992
2016-07-20 17:28:39 418.52 17.00 14.60 50.34 98.10 0.0755 0.0993
2016-07-20 17:28:40 420.13 17.07 14.66 50.34 98.09 0.0757 0.0996
2016-07-20 17:28:41 421.37 17.11 14.70 50.34 98.09 0.0758 0.0997
2016-07-20 17:28:42 423.33 17.16 14.74 50.34 98.10 0.0761 0.0999
2016-07-20 17:28:43 424.69 17.20 14.78 50.34 98.08 0.0763 0.1001
2016-07-20 17:28:44 425.81 17.25 14.82 50.34 98.10 0.0764 0.1003
2016-07-20 17:28:45 427.17 17.28 14.85 50.34 98.09 0.0766 0.1004
2016-07-20 17:28:46 428.19 17.33 14.90 50.34 98.11 0.0767 0.1006
2016-07-20 17:28:47 429.51 17.37 14.93 50.34 98.09 0.0769 0.1008
2016-07-20 17:28:48 430.68 17.41 14.97 50.34 98.09 0.0771 0.1009
2016-07-20 17:28:49 431.57 17.45 15.00 50.34 98.09 0.0772 0.1011
2016-07-20 17:28:50 432.67 17.48 15.03 50.34 98.09 0.0773 0.1012
2016-07-20 17:28:51 433.33 17.50 15.04 50.34 98.09 0.0774 0.1013
2016-07-20 17:28:52 433.44 17.52 15.06 50.34 98.09 0.0774 0.1013
2016-07-20 17:28:53 433.89 17.54 15.08 50.34 98.09 0.0775 0.1014
2016-07-20 17:28:54 434.64 17.56 15.10 50.34 98.11 0.0776 0.1015
2016-07-20 17:28:55 435.71 17.60 15.14 50.34 98.11 0.0777 0.1017
2016-07-20 17:28:56 436.35 17.62 15.16 50.34 98.09 0.0778 0.1017
2016-07-20 17:28:57 438.05 17.66 15.19 50.34 98.07 0.0780 0.1019
2016-07-20 17:28:58 438.98 17.70 15.22 50.34 98.07 0.0781 0.1020
2016-07-20 17:28:59 439.64 17.71 15.23 50.34 98.09 0.0782 0.1021
2016-07-20 17:29:00 440.01 17.71 15.24 50.34 98.11 0.0783 0.1021
2016-07-20 17:29:01 440.61 17.74 15.26 50.34 98.11 0.0784 0.1022
2016-07-20 17:29:02 441.19 17.77 15.29 50.34 98.09 0.0784 0.1023
2016-07-20 17:29:03 441.85 17.79 15.30 50.34 98.09 0.0785 0.1024
2016-07-20 17:29:04 443.11 17.82 15.33 50.34 98.09 0.0787 0.1025
2016-07-20 17:29:05 443.47 17.84 15.35 50.34 98.07 0.0787 0.1026
2016-07-20 17:29:06 446.86 17.86 15.36 50.34 98.07 0.0791 0.1026
2016-07-20 17:29:07 443.03 17.87 15.37 50.34 98.09 0.0786 0.1027
2016-07-20 17:29:08 444.11 17.89 15.40 50.34 98.11 0.0788 0.1028
2016-07-20 17:29:09 443.89 17.88 15.39 50.34 98.11 0.0788 0.1028
2016-07-20 17:29:10 442.70 17.91 15.41 50.34 98.09 0.0786 0.1029
2016-07-20 17:29:11 441.02 17.92 15.42 50.34 98.11 0.0784 0.1029
2016-07-20 17:29:12 446.04 17.92 15.42 50.34 98.09 0.0790 0.1029
2016-07-20 17:29:13 444.98 17.91 15.41 50.34 98.09 0.0789 0.1029
2016-07-20 17:29:14 445.91 17.94 15.43 50.34 98.09 0.0790 0.1030
2016-07-20 17:29:15 448.83 17.94 15.44 50.34 98.09 0.0794 0.1030
2016-07-20 17:29:16 448.33 17.94 15.44 50.34 98.11 0.0793 0.1030
2016-07-20 17:29:17 448.24 17.95 15.44 50.34 98.11 0.0793 0.1030
2016-07-20 17:29:18 448.97 17.96 15.45 50.34 98.11 0.0794 0.1031
2016-07-20 17:29:19 448.96 17.96 15.45 50.34 98.09 0.0794 0.1030
2016-07-20 17:29:20 448.76 17.95 15.44 50.34 98.07 0.0794 0.1030
2016-07-20 17:29:21 448.94 17.94 15.44 50.34 98.09 0.0794 0.1030
2016-07-20 17:29:22 449.80 17.97 15.45 50.34 98.07 0.0795 0.1030
2016-07-20 17:29:23 450.32 17.98 15.46 50.34 98.09 0.0796 0.1031
2016-07-20 17:29:24 450.38 17.99 15.48 50.34 98.09 0.0796 0.1032
2016-07-20 17:29:25 451.61 18.01 15.50 50.34 98.09 0.0797 0.1032
2016-07-20 17:29:26 452.19 18.02 15.51 50.34 98.09 0.0798 0.1033
2016-07-20 17:29:27 452.67 18.03 15.51 50.34 98.07 0.0799 0.1033
2016-07-20 17:29:28 453.29 18.04 15.52 50.34 98.07 0.0799 0.1033
2016-07-20 17:29:29 453.29 18.03 15.52 50.34 98.09 0.0800 0.1033
2016-07-20 17:29:30 454.30 18.06 15.54 50.34 98.09 0.0801 0.1034
2016-07-20 17:29:31 454.19 18.07 15.54 50.34 98.09 0.0801 0.1035
2016-07-20 17:29:32 453.88 18.07 15.55 50.34 98.09 0.0800 0.1035
2016-07-20 17:29:33 454.05 18.08 15.56 50.34 98.09 0.0801 0.1035
2016-07-20 17:29:34 454.30 18.10 15.57 50.37 98.07 0.0801 0.1036
2016-07-20 17:29:35 453.60 18.08 15.55 50.37 98.08 0.0800 0.1035
2016-07-20 17:29:36 452.73 18.06 15.54 50.34 98.10 0.0799 0.1034
2016-07-20 17:29:37 453.04 18.06 15.54 50.34 98.10 0.0799 0.1034
2016-07-20 17:29:38 453.44 18.06 15.54 50.34 98.13 0.0800 0.1035
2016-07-20 17:29:39 453.61 18.06 15.54 50.34 98.11 0.0800 0.1034
2016-07-20 17:29:40 454.02 18.07 15.55 50.34 98.11 0.0801 0.1035
2016-07-20 17:29:41 455.92 18.10 15.57 50.34 98.10 0.0803 0.1036
2016-07-20 17:29:42 455.61 18.09 15.56 50.34 98.08 0.0802 0.1035
2016-07-20 17:29:43 455.34 18.08 15.55 50.34 98.08 0.0802 0.1035
2016-07-20 17:29:44 455.49 18.08 15.56 50.34 98.10 0.0802 0.1035
2016-07-20 17:29:45 455.67 18.09 15.56 50.34 98.10 0.0803 0.1035
2016-07-20 17:29:46 454.40 18.07 15.55 50.34 98.11 0.0801 0.1035
2016-07-20 17:29:47 455.15 18.10 15.57 50.34 98.11 0.0802 0.1036
2016-07-20 17:29:48 455.37 18.11 15.59 50.34 98.10 0.0802 0.1036
2016-07-20 17:29:49 455.35 18.11 15.58 50.34 98.10 0.0802 0.1036
2016-07-20 17:29:50 455.71 18.11 15.58 50.34 98.10 0.0803 0.1036
2016-07-20 17:29:51 456.39 18.12 15.59 50.34 98.10 0.0804 0.1037
2016-07-20 17:29:52 456.77 18.13 15.60 50.34 98.10 0.0804 0.1037
2016-07-20 17:29:53 456.88 18.14 15.61 50.34 98.13 0.0804 0.1038
2016-07-20 17:29:54 456.94 18.15 15.62 50.34 98.10 0.0804 0.1038
2016-07-20 17:29:55 457.41 18.17 15.63 50.34 98.10 0.0805 0.1039
2016-07-20 17:29:56 456.95 18.17 15.64 50.37 98.10 0.0804 0.1039
2016-07-20 17:29:57 457.51 18.18 15.64 50.37 98.10 0.0805 0.1039
2016-07-20 17:29:58 457.62 18.17 15.64 50.37 98.10 0.0805 0.1039
2016-07-20 17:29:59 458.14 18.17 15.64 50.34 98.10 0.0806 0.1039
2016-07-20 17:30:00 459.16 18.19 15.65 50.34 98.10 0.0807 0.1039
2016-07-20 17:30:01 458.91 18.18 15.65 50.34 98.11 0.0807 0.1039
2016-07-20 17:30:02 459.04 18.19 15.65 50.34 98.11 0.0807 0.1039
