"2016-07-23 at 15:31"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-23 15:31:37 370.14 20.83 17.61 50.32 97.00 0.0682 0.1125
2016-07-23 15:31:38 371.62 20.96 17.70 50.32 97.00 0.0684 0.1129
2016-07-23 15:31:39 372.98 21.05 17.78 50.32 97.00 0.0686 0.1133
2016-07-23 15:31:40 373.89 21.14 17.84 50.34 96.98 0.0687 0.1135
2016-07-23 15:31:41 379.62 21.00 17.73 50.37 96.98 0.0694 0.1131
2016-07-23 15:31:42 385.78 20.98 17.72 50.34 97.00 0.0703 0.1130
2016-07-23 15:31:43 414.91 21.01 17.75 50.34 97.00 0.0742 0.1131
2016-07-23 15:31:44 427.83 20.93 17.68 50.34 97.02 0.0758 0.1129
2016-07-23 15:31:45 437.12 20.83 17.61 50.34 97.02 0.0770 0.1125
2016-07-23 15:31:46 451.38 20.97 17.71 50.34 97.00 0.0788 0.1130
2016-07-23 15:31:47 446.99 21.08 17.80 50.34 97.00 0.0783 0.1134
2016-07-23 15:31:48 428.43 21.13 17.83 50.34 97.00 0.0759 0.1135
2016-07-23 15:31:49 426.94 21.57 18.15 50.34 96.97 0.0757 0.1150
2016-07-23 15:31:50 430.39 22.12 18.56 50.34 97.00 0.0762 0.1170
2016-07-23 15:31:51 430.68 22.67 18.96 50.34 97.00 0.0762 0.1188
2016-07-23 15:31:52 438.86 23.17 19.31 50.34 97.00 0.0773 0.1205
2016-07-23 15:31:53 441.89 23.78 19.72 50.34 96.98 0.0776 0.1225
2016-07-23 15:31:54 445.50 24.14 19.97 50.34 97.00 0.0781 0.1237
2016-07-23 15:31:55 450.37 24.47 20.18 50.34 96.98 0.0787 0.1247
2016-07-23 15:31:56 453.81 24.83 20.42 50.34 96.98 0.0792 0.1259
2016-07-23 15:31:57 457.06 25.14 20.62 50.34 96.98 0.0796 0.1269
2016-07-23 15:31:58 460.48 25.42 20.80 50.34 97.00 0.0800 0.1278
2016-07-23 15:31:59 464.05 25.68 20.97 50.34 97.00 0.0805 0.1286
2016-07-23 15:32:00 465.21 25.92 21.12 50.34 97.00 0.0806 0.1294
2016-07-23 15:32:01 468.62 26.17 21.27 50.34 96.98 0.0810 0.1301
2016-07-23 15:32:02 472.58 26.41 21.43 50.34 97.00 0.0815 0.1309
2016-07-23 15:32:03 475.10 26.64 21.56 50.34 96.98 0.0818 0.1316
2016-07-23 15:32:04 476.91 26.82 21.67 50.34 96.96 0.0820 0.1321
2016-07-23 15:32:05 479.65 27.00 21.78 50.34 96.98 0.0824 0.1327
2016-07-23 15:32:06 481.02 27.08 21.83 50.34 97.00 0.0826 0.1329
2016-07-23 15:32:07 482.29 27.26 21.94 50.34 96.98 0.0827 0.1335
2016-07-23 15:32:08 485.22 27.42 22.04 50.34 96.98 0.0831 0.1340
2016-07-23 15:32:09 487.88 27.56 22.12 50.34 97.00 0.0834 0.1344
2016-07-23 15:32:11 491.39 27.76 22.24 50.34 96.98 0.0838 0.1350
2016-07-23 15:32:12 493.21 27.90 22.32 50.34 96.98 0.0840 0.1354
2016-07-23 15:32:13 495.54 28.04 22.40 50.37 96.97 0.0843 0.1358
2016-07-23 15:32:14 498.58 28.20 22.50 50.34 97.00 0.0847 0.1363
2016-07-23 15:32:15 500.28 28.31 22.56 50.34 97.00 0.0849 0.1366
2016-07-23 15:32:16 501.45 28.41 22.62 50.34 97.00 0.0851 0.1370
2016-07-23 15:32:17 503.12 28.54 22.69 50.34 96.98 0.0852 0.1373
2016-07-23 15:32:18 503.93 28.64 22.75 50.34 96.96 0.0853 0.1376
2016-07-23 15:32:19 503.37 28.72 22.80 50.37 96.98 0.0853 0.1378
2016-07-23 15:32:20 505.40 28.81 22.85 50.37 97.00 0.0855 0.1381
2016-07-23 15:32:21 506.30 28.92 22.91 50.34 96.97 0.0856 0.1384
2016-07-23 15:32:22 508.34 29.00 22.96 50.34 96.98 0.0859 0.1387
2016-07-23 15:32:23 511.03 29.10 23.01 50.34 96.98 0.0862 0.1390
2016-07-23 15:32:24 512.85 29.17 23.06 50.34 97.00 0.0864 0.1392
2016-07-23 15:32:25 513.56 29.26 23.11 50.34 97.00 0.0865 0.1395
2016-07-23 15:32:26 515.31 29.35 23.16 50.37 96.98 0.0867 0.1397
2016-07-23 15:32:27 516.72 29.43 23.20 50.37 96.96 0.0868 0.1399
2016-07-23 15:32:28 517.87 29.49 23.23 50.34 96.98 0.0870 0.1401
2016-07-23 15:32:29 518.72 29.56 23.27 50.34 96.98 0.0871 0.1403
