"2016-07-23 at 12:14"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-23 12:14:09 383.51 19.16 16.20 50.40 96.41 0.0695 0.1059
2016-07-23 12:14:10 386.24 19.17 16.20 50.37 96.41 0.0699 0.1059
2016-07-23 12:14:11 394.79 19.17 16.20 50.34 96.41 0.0710 0.1059
2016-07-23 12:14:12 397.04 19.27 16.29 50.34 96.43 0.0714 0.1063
2016-07-23 12:14:13 399.14 19.24 16.26 50.34 96.43 0.0716 0.1062
2016-07-23 12:14:14 399.88 19.22 16.25 50.34 96.43 0.0717 0.1061
2016-07-23 12:14:15 396.77 19.28 16.30 50.34 96.43 0.0713 0.1064
2016-07-23 12:14:16 393.47 19.39 16.38 50.37 96.41 0.0709 0.1067
2016-07-23 12:14:17 391.67 19.32 16.32 50.34 96.41 0.0706 0.1065
2016-07-23 12:14:18 391.30 19.28 16.29 50.34 96.41 0.0706 0.1063
2016-07-23 12:14:19 390.11 19.31 16.32 50.34 96.43 0.0704 0.1065
2016-07-23 12:14:20 389.04 19.37 16.36 50.34 96.41 0.0703 0.1066
2016-07-23 12:14:21 387.27 19.40 16.39 50.34 96.42 0.0700 0.1068
2016-07-23 12:14:22 384.30 19.60 16.55 50.34 96.42 0.0696 0.1075
2016-07-23 12:14:23 382.85 19.91 16.79 50.37 96.40 0.0694 0.1086
2016-07-23 12:14:24 382.84 20.14 16.98 50.37 96.40 0.0694 0.1094
2016-07-23 12:14:25 382.34 20.37 17.15 50.34 96.38 0.0694 0.1102
2016-07-23 12:14:26 384.46 20.59 17.32 50.34 96.38 0.0696 0.1110
2016-07-23 12:14:27 385.87 20.86 17.53 50.34 96.40 0.0699 0.1120
2016-07-23 12:14:28 386.36 21.08 17.70 50.34 96.40 0.0699 0.1127
2016-07-23 12:14:29 385.98 21.21 17.79 50.34 96.40 0.0699 0.1132
2016-07-23 12:14:30 385.44 21.44 17.96 50.34 96.38 0.0698 0.1139
2016-07-23 12:14:31 384.71 21.68 18.14 50.37 96.36 0.0697 0.1147
2016-07-23 12:14:32 383.86 21.88 18.28 50.34 96.38 0.0696 0.1154
2016-07-23 12:14:33 383.67 22.07 18.42 50.34 96.40 0.0696 0.1161
2016-07-23 12:14:34 383.40 22.29 18.58 50.34 96.40 0.0695 0.1169
2016-07-23 12:14:35 383.46 22.49 18.73 50.34 96.42 0.0696 0.1176
2016-07-23 12:14:36 383.31 22.69 18.87 50.34 96.42 0.0695 0.1182
2016-07-23 12:14:37 383.62 22.87 19.00 50.34 96.40 0.0696 0.1188
2016-07-23 12:14:38 383.40 23.06 19.13 50.40 96.42 0.0695 0.1195
2016-07-23 12:14:40 383.20 23.24 19.25 50.34 96.40 0.0695 0.1200
2016-07-23 12:14:41 383.46 23.41 19.37 50.34 96.40 0.0695 0.1206
2016-07-23 12:14:42 383.42 23.56 19.48 50.34 96.42 0.0696 0.1211
2016-07-23 12:14:43 383.64 23.74 19.59 50.34 96.38 0.0696 0.1217
2016-07-23 12:14:44 383.16 23.90 19.70 50.34 96.38 0.0695 0.1222
2016-07-23 12:14:45 382.87 24.04 19.80 50.34 96.40 0.0695 0.1227
2016-07-23 12:14:46 382.38 24.20 19.91 50.37 96.42 0.0694 0.1232
2016-07-23 12:14:47 382.10 24.36 20.01 50.37 96.40 0.0694 0.1237
2016-07-23 12:14:48 381.13 24.52 20.12 50.34 96.40 0.0692 0.1242
2016-07-23 12:14:49 381.33 24.66 20.21 50.34 96.42 0.0693 0.1247
2016-07-23 12:14:50 381.05 24.80 20.30 50.34 96.42 0.0692 0.1251
2016-07-23 12:14:51 380.85 24.94 20.39 50.34 96.40 0.0692 0.1255
2016-07-23 12:14:52 380.30 25.08 20.48 50.34 96.40 0.0691 0.1260
2016-07-23 12:14:53 380.06 25.19 20.56 50.34 96.42 0.0691 0.1264
2016-07-23 12:14:54 379.76 25.33 20.64 50.34 96.40 0.0691 0.1268
2016-07-23 12:14:55 379.42 25.46 20.73 50.34 96.40 0.0690 0.1272
2016-07-23 12:14:56 378.85 25.58 20.80 50.34 96.42 0.0690 0.1276
2016-07-23 12:14:57 379.17 25.70 20.88 50.34 96.40 0.0690 0.1280
2016-07-23 12:14:58 378.82 25.82 20.95 50.34 96.40 0.0689 0.1283
2016-07-23 12:14:59 378.14 25.89 21.00 50.34 96.38 0.0688 0.1285
2016-07-23 12:15:00 378.44 26.04 21.09 50.34 96.38 0.0689 0.1290
2016-07-23 12:15:01 378.23 26.15 21.16 50.34 96.38 0.0689 0.1293
2016-07-23 12:15:02 378.02 26.26 21.23 50.34 96.40 0.0688 0.1297
2016-07-23 12:15:03 378.31 26.39 21.31 50.34 96.42 0.0689 0.1301
2016-07-23 12:15:04 378.80 26.49 21.37 50.34 96.40 0.0689 0.1304
2016-07-23 12:15:05 378.27 26.59 21.43 50.34 96.40 0.0689 0.1307
2016-07-23 12:15:06 379.59 26.68 21.49 50.34 96.40 0.0691 0.1310
2016-07-23 12:15:07 375.49 26.80 21.56 50.34 96.40 0.0685 0.1314
2016-07-23 12:15:08 376.01 26.92 21.63 50.34 96.38 0.0686 0.1317
2016-07-23 12:15:09 375.60 27.03 21.70 50.34 96.36 0.0685 0.1320
2016-07-23 12:15:10 371.15 27.14 21.77 50.37 96.40 0.0679 0.1324
2016-07-23 12:15:11 371.43 27.26 21.84 50.34 96.40 0.0679 0.1328
2016-07-23 12:15:12 375.56 27.34 21.89 50.34 96.40 0.0685 0.1330
2016-07-23 12:15:13 374.76 27.46 21.96 50.34 96.38 0.0684 0.1333
2016-07-23 12:15:14 374.65 27.59 22.04 50.34 96.40 0.0684 0.1338
2016-07-23 12:15:15 378.30 27.68 22.09 50.37 96.38 0.0689 0.1340
2016-07-23 12:15:16 376.20 27.80 22.16 50.40 96.40 0.0686 0.1344
2016-07-23 12:15:17 376.00 27.92 22.23 50.37 96.40 0.0686 0.1347
2016-07-23 12:15:18 375.55 28.01 22.28 50.34 96.38 0.0685 0.1350
2016-07-23 12:15:19 375.42 28.09 22.33 50.34 96.38 0.0685 0.1352
2016-07-23 12:15:20 375.59 28.18 22.39 50.34 96.43 0.0685 0.1356
2016-07-23 12:15:21 375.69 28.28 22.44 50.34 96.38 0.0685 0.1358
2016-07-23 12:15:22 376.10 28.36 22.49 50.34 96.40 0.0686 0.1361
2016-07-23 12:15:23 376.28 28.47 22.56 50.34 96.42 0.0686 0.1364
2016-07-23 12:15:24 376.84 28.58 22.62 50.37 96.40 0.0687 0.1367
2016-07-23 12:15:25 376.62 28.69 22.68 50.34 96.40 0.0687 0.1370
2016-07-23 12:15:26 376.82 28.78 22.73 50.34 96.42 0.0687 0.1373
2016-07-23 12:15:27 376.70 28.82 22.76 50.34 96.42 0.0687 0.1374
2016-07-23 12:15:28 376.59 28.94 22.83 50.34 96.40 0.0687 0.1378
2016-07-23 12:15:29 376.37 29.04 22.88 50.34 96.40 0.0686 0.1381
2016-07-23 12:15:30 376.26 29.10 22.92 50.34 96.40 0.0686 0.1382
2016-07-23 12:15:31 376.83 29.19 22.97 50.34 96.40 0.0687 0.1385
2016-07-23 12:15:32 377.11 29.27 23.01 50.40 96.42 0.0687 0.1387
2016-07-23 12:15:33 377.23 29.33 23.05 50.34 96.40 0.0688 0.1389
2016-07-23 12:15:34 377.94 29.39 23.08 50.34 96.40 0.0689 0.1391
2016-07-23 12:15:35 379.18 29.47 23.12 50.34 96.40 0.0690 0.1393
2016-07-23 12:15:36 380.20 29.54 23.16 50.34 96.38 0.0691 0.1395
2016-07-23 12:15:37 380.56 29.62 23.20 50.37 96.38 0.0692 0.1397
2016-07-23 12:15:38 381.54 29.68 23.24 50.40 96.38 0.0693 0.1399
2016-07-23 12:15:39 381.65 29.76 23.28 50.37 96.38 0.0693 0.1401
2016-07-23 12:15:40 381.10 29.82 23.32 50.37 96.42 0.0693 0.1403
2016-07-23 12:15:41 380.46 29.89 23.36 50.37 96.42 0.0692 0.1405
2016-07-23 12:15:42 381.00 29.98 23.41 50.34 96.40 0.0693 0.1408
2016-07-23 12:15:43 380.80 30.05 23.46 50.34 96.44 0.0693 0.1410
2016-07-23 12:15:44 381.08 30.15 23.50 50.34 96.40 0.0693 0.1413
2016-07-23 12:15:45 380.98 30.24 23.55 50.34 96.40 0.0693 0.1415
2016-07-23 12:15:46 381.35 30.34 23.61 50.37 96.40 0.0693 0.1418
2016-07-23 12:15:47 380.83 30.41 23.64 50.34 96.40 0.0692 0.1420
2016-07-23 12:15:48 380.39 30.49 23.69 50.34 96.40 0.0692 0.1422
2016-07-23 12:15:49 380.74 30.56 23.73 50.34 96.42 0.0693 0.1425
2016-07-23 12:15:50 380.46 30.63 23.77 50.34 96.42 0.0692 0.1426
2016-07-23 12:15:51 380.49 30.68 23.79 50.34 96.42 0.0692 0.1428
2016-07-23 12:15:52 380.94 30.76 23.84 50.34 96.40 0.0693 0.1430
2016-07-23 12:15:53 381.23 30.82 23.87 50.37 96.40 0.0693 0.1432
2016-07-23 12:15:54 381.14 30.84 23.88 50.37 96.40 0.0693 0.1432
2016-07-23 12:15:55 381.13 30.90 23.91 50.34 96.40 0.0693 0.1434
2016-07-23 12:15:56 381.45 30.99 23.96 50.34 96.40 0.0693 0.1436
2016-07-23 12:15:57 381.54 31.04 23.99 50.34 96.42 0.0694 0.1438
2016-07-23 12:15:58 380.90 31.14 24.04 50.34 96.40 0.0693 0.1441
2016-07-23 12:15:59 380.89 31.22 24.08 50.34 96.40 0.0693 0.1443
2016-07-23 12:16:00 381.49 31.30 24.12 50.40 96.40 0.0693 0.1445
2016-07-23 12:16:01 381.16 31.35 24.15 50.37 96.40 0.0693 0.1447
2016-07-23 12:16:02 381.10 31.41 24.18 50.37 96.40 0.0693 0.1448
2016-07-23 12:16:03 381.10 31.46 24.21 50.34 96.40 0.0693 0.1450
2016-07-23 12:16:04 381.46 31.49 24.23 50.34 96.42 0.0694 0.1451
2016-07-23 12:16:05 381.38 31.53 24.25 50.34 96.42 0.0693 0.1452
2016-07-23 12:16:06 381.38 31.60 24.28 50.34 96.40 0.0693 0.1454
2016-07-23 12:16:07 381.42 31.65 24.31 50.34 96.40 0.0693 0.1455
2016-07-23 12:16:08 381.69 31.74 24.35 50.37 96.40 0.0694 0.1457
2016-07-23 12:16:09 381.79 31.83 24.41 50.37 96.40 0.0694 0.1460
2016-07-23 12:16:10 384.11 31.88 24.43 50.34 96.40 0.0697 0.1461
2016-07-23 12:16:11 385.36 31.96 24.47 50.34 96.40 0.0699 0.1464
2016-07-23 12:16:12 384.99 32.03 24.51 50.34 96.42 0.0698 0.1466
2016-07-23 12:16:13 384.82 32.09 24.54 50.34 96.42 0.0698 0.1467
