"2016-07-16 at 12:24"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-16 12:24:23 374.27 11.85 9.10 50.32 97.92 0.0693 0.0772
2016-07-16 12:24:24 374.74 11.76 8.99 50.32 97.92 0.0694 0.0768
2016-07-16 12:24:25 374.77 11.72 8.94 50.32 97.94 0.0694 0.0766
2016-07-16 12:24:26 375.00 11.70 8.91 50.34 97.92 0.0694 0.0765
2016-07-16 12:24:27 374.41 11.79 9.03 50.34 97.90 0.0693 0.0769
2016-07-16 12:24:28 374.22 11.83 9.07 50.34 97.89 0.0693 0.0771
2016-07-16 12:24:29 374.70 11.87 9.13 50.32 97.91 0.0694 0.0773
2016-07-16 12:24:30 374.55 11.99 9.27 50.32 97.91 0.0694 0.0778
2016-07-16 12:24:31 374.63 12.23 9.58 50.32 97.93 0.0694 0.0790
2016-07-16 12:24:32 374.79 12.44 9.82 50.32 97.91 0.0694 0.0799
2016-07-16 12:24:33 375.08 12.72 10.16 50.32 97.91 0.0694 0.0812
2016-07-16 12:24:34 374.77 13.02 10.51 50.32 97.89 0.0694 0.0825
2016-07-16 12:24:35 375.30 13.27 10.79 50.37 97.89 0.0695 0.0836
2016-07-16 12:24:36 374.59 13.39 10.93 50.34 97.91 0.0694 0.0842
2016-07-16 12:24:37 374.78 13.66 11.23 50.34 97.93 0.0694 0.0853
2016-07-16 12:24:38 374.67 13.84 11.42 50.34 97.93 0.0694 0.0861
2016-07-16 12:24:39 375.02 14.13 11.73 50.34 97.91 0.0694 0.0874
2016-07-16 12:24:40 375.39 14.42 12.05 50.34 97.91 0.0695 0.0886
2016-07-16 12:24:41 375.79 14.79 12.43 50.37 97.91 0.0696 0.0901
2016-07-16 12:24:42 376.74 15.04 12.69 50.37 97.90 0.0697 0.0912
2016-07-16 12:24:43 376.49 15.27 12.93 50.34 97.94 0.0697 0.0922
2016-07-16 12:24:44 377.73 15.57 13.22 50.34 97.92 0.0698 0.0934
2016-07-16 12:24:45 377.72 15.86 13.50 50.34 97.92 0.0698 0.0946
2016-07-16 12:24:46 378.12 16.17 13.80 50.34 97.93 0.0699 0.0959
2016-07-16 12:24:47 378.31 16.40 14.02 50.34 97.92 0.0699 0.0968
2016-07-16 12:24:48 378.71 16.55 14.16 50.34 97.92 0.0700 0.0974
2016-07-16 12:24:49 379.37 16.77 14.36 50.34 97.90 0.0701 0.0982
2016-07-16 12:24:50 379.15 16.93 14.51 50.34 97.92 0.0700 0.0989
2016-07-16 12:24:51 379.90 17.18 14.73 50.34 97.90 0.0701 0.0999
2016-07-16 12:24:52 380.34 17.31 14.85 50.34 97.92 0.0702 0.1004
2016-07-16 12:24:53 380.56 17.56 15.08 50.34 97.94 0.0703 0.1014
2016-07-16 12:24:54 381.37 17.76 15.25 50.34 97.92 0.0704 0.1021
2016-07-16 12:24:55 381.93 17.94 15.41 50.34 97.92 0.0704 0.1028
2016-07-16 12:24:56 383.32 18.01 15.46 50.34 97.91 0.0706 0.1031
2016-07-16 12:24:57 383.57 18.09 15.54 50.34 97.93 0.0707 0.1034
2016-07-16 12:24:58 384.50 18.20 15.64 50.34 97.93 0.0708 0.1038
2016-07-16 12:24:59 384.31 18.30 15.72 50.34 97.93 0.0708 0.1042
2016-07-16 12:25:00 384.81 18.47 15.87 50.34 97.96 0.0709 0.1049
2016-07-16 12:25:01 383.68 18.59 15.97 50.34 97.96 0.0707 0.1053
2016-07-16 12:25:02 384.03 18.75 16.10 50.34 97.93 0.0707 0.1059
2016-07-16 12:25:03 384.68 18.89 16.22 50.34 97.95 0.0708 0.1064
2016-07-16 12:25:04 385.68 19.07 16.37 50.34 97.93 0.0710 0.1071
2016-07-16 12:25:05 386.57 19.25 16.51 50.34 97.93 0.0711 0.1077
2016-07-16 12:25:06 388.56 19.44 16.67 50.34 97.95 0.0714 0.1084
2016-07-16 12:25:07 390.91 19.60 16.80 50.34 97.97 0.0717 0.1091
2016-07-16 12:25:08 390.62 19.68 16.86 50.34 97.93 0.0716 0.1093
2016-07-16 12:25:09 391.78 19.77 16.93 50.34 97.93 0.0718 0.1097
2016-07-16 12:25:11 392.47 19.88 17.02 50.34 97.93 0.0719 0.1100
2016-07-16 12:25:12 393.39 19.97 17.09 50.34 97.89 0.0720 0.1104
2016-07-16 12:25:12 393.24 20.03 17.13 50.34 97.93 0.0720 0.1106
2016-07-16 12:25:14 394.28 20.17 17.25 50.34 97.95 0.0721 0.1111
2016-07-16 12:25:15 395.61 20.28 17.33 50.34 97.95 0.0723 0.1115
2016-07-16 12:25:16 396.59 20.34 17.38 50.34 97.97 0.0725 0.1117
2016-07-16 12:25:17 396.58 20.44 17.46 50.34 97.95 0.0725 0.1121
2016-07-16 12:25:18 395.83 20.47 17.49 50.34 97.97 0.0724 0.1122
2016-07-16 12:25:19 396.29 20.59 17.58 50.34 97.95 0.0724 0.1126
2016-07-16 12:25:20 396.61 20.69 17.65 50.37 97.95 0.0725 0.1130
2016-07-16 12:25:21 396.55 20.77 17.72 50.34 97.95 0.0725 0.1133
2016-07-16 12:25:22 397.57 20.86 17.78 50.34 97.97 0.0726 0.1136
2016-07-16 12:25:23 396.21 20.95 17.85 50.34 97.95 0.0724 0.1139
2016-07-16 12:25:24 397.33 21.03 17.91 50.34 97.95 0.0726 0.1142
2016-07-16 12:25:25 397.79 21.12 17.98 50.34 97.97 0.0726 0.1145
2016-07-16 12:25:26 397.76 21.19 18.03 50.34 97.95 0.0726 0.1148
2016-07-16 12:25:27 398.26 21.33 18.13 50.37 97.93 0.0727 0.1152
2016-07-16 12:25:28 400.78 21.40 18.19 50.34 97.96 0.0730 0.1155
2016-07-16 12:25:29 401.30 21.51 18.27 50.34 97.95 0.0731 0.1159
2016-07-16 12:25:30 402.14 21.60 18.34 50.34 97.95 0.0732 0.1162
2016-07-16 12:25:31 401.67 21.68 18.40 50.34 97.97 0.0732 0.1165
2016-07-16 12:25:32 401.19 21.73 18.43 50.34 97.95 0.0731 0.1166
2016-07-16 12:25:33 402.90 21.84 18.51 50.34 97.96 0.0733 0.1170
2016-07-16 12:25:34 402.90 21.88 18.54 50.37 97.94 0.0733 0.1171
2016-07-16 12:25:35 403.10 21.92 18.58 50.34 97.96 0.0734 0.1173
2016-07-16 12:25:36 404.28 22.03 18.66 50.34 97.96 0.0735 0.1177
2016-07-16 12:25:37 404.68 22.10 18.71 50.34 97.96 0.0736 0.1179
2016-07-16 12:25:38 404.55 22.19 18.77 50.34 97.96 0.0736 0.1182
2016-07-16 12:25:39 405.09 22.29 18.84 50.34 97.97 0.0736 0.1186
2016-07-16 12:25:40 405.87 22.37 18.90 50.34 97.95 0.0737 0.1188
2016-07-16 12:25:41 406.99 22.42 18.93 50.34 97.96 0.0739 0.1190
2016-07-16 12:25:42 408.45 22.47 18.97 50.34 97.94 0.0741 0.1192
2016-07-16 12:25:43 408.78 22.52 19.01 50.34 97.96 0.0741 0.1194
2016-07-16 12:25:44 410.38 22.56 19.03 50.34 97.96 0.0743 0.1195
2016-07-16 12:25:45 412.07 22.61 19.08 50.34 97.98 0.0746 0.1197
2016-07-16 12:25:46 412.42 22.65 19.10 50.34 97.96 0.0746 0.1198
2016-07-16 12:25:47 412.33 22.71 19.14 50.37 97.96 0.0746 0.1200
2016-07-16 12:25:48 412.57 22.79 19.20 50.37 97.96 0.0746 0.1203
2016-07-16 12:25:49 411.95 22.91 19.28 50.37 97.96 0.0745 0.1207
2016-07-16 12:25:50 412.06 23.00 19.34 50.34 97.94 0.0745 0.1210
2016-07-16 12:25:51 412.77 23.00 19.34 50.34 97.96 0.0747 0.1210
2016-07-16 12:25:52 414.10 23.09 19.41 50.34 97.96 0.0748 0.1213
2016-07-16 12:25:53 414.84 23.14 19.44 50.34 97.96 0.0749 0.1215
2016-07-16 12:25:54 416.20 23.16 19.46 50.34 97.96 0.0751 0.1215
2016-07-16 12:25:55 417.15 23.17 19.47 50.34 97.98 0.0753 0.1216
2016-07-16 12:25:56 416.70 23.28 19.54 50.34 97.98 0.0752 0.1220
2016-07-16 12:25:57 416.08 23.37 19.60 50.34 97.96 0.0751 0.1222
2016-07-16 12:25:58 418.21 23.46 19.66 50.34 97.94 0.0754 0.1225
2016-07-16 12:25:59 418.16 23.49 19.69 50.34 97.98 0.0754 0.1227
2016-07-16 12:26:00 417.85 23.57 19.74 50.34 97.97 0.0753 0.1229
2016-07-16 12:26:01 418.85 23.57 19.74 50.34 97.97 0.0755 0.1229
2016-07-16 12:26:02 419.98 23.56 19.73 50.34 97.97 0.0756 0.1229
2016-07-16 12:26:03 419.03 23.56 19.74 50.34 97.97 0.0755 0.1229
2016-07-16 12:26:04 419.16 23.63 19.78 50.37 97.94 0.0755 0.1231
2016-07-16 12:26:05 419.05 23.70 19.83 50.37 97.96 0.0755 0.1233
2016-07-16 12:26:06 419.05 23.69 19.82 50.34 97.98 0.0755 0.1233
2016-07-16 12:26:07 421.30 23.77 19.88 50.34 97.96 0.0758 0.1236
2016-07-16 12:26:08 421.27 23.88 19.95 50.34 97.96 0.0758 0.1239
2016-07-16 12:26:09 422.37 23.95 20.00 50.34 97.96 0.0759 0.1242
